CLQU_UUID,cluster_name,queue_name,minNodeCount,maxNodeCount,minCoresPerNode,maxCoresPerNode,minMemoryMB,maxMemoryMB,minMinutes,maxMinutes
1,ascend,batch,0,4,1,96,0,936562,0,10080
2,ascend,cpuonly,0,4,1,84,0,900816,0,5760
3,ascend,debug,0,2,1,88,0,943712,0,60
4,ascend,gpu,0,4,1,88,0,943712,0,10080
5,ascend,gpu-dense,0,4,1,88,0,943712,0,10080
6,ascend,gpu-mixed,0,4,1,88,0,943712,0,10080
7,ascend,preemptible,0,4,1,88,0,943712,0,1440
8,ascend,systems,0,4,1,96,0,936562,0,6797
9,owens,batch,0,15,1,28,0,286464,0,10080
10,owens,condo-PYS1123,0,15,1,28,0,120820,0,10080
11,owens,condo-PYS1123-backfill-parallel,2,15,1,28,0,120820,0,360
12,owens,condo-PYS1123-backfill-serial,0,1,1,28,0,120820,0,360
13,owens,condo-PYS1124,0,15,1,28,0,120820,0,10080
14,owens,condo-PYS1124-backfill-parallel,2,15,1,28,0,120820,0,360
15,owens,condo-PYS1124-backfill-serial,0,1,1,28,0,120820,0,360
16,owens,debug,0,2,1,28,0,120820,0,60
17,owens,gpubackfill-parallel,2,81,1,28,0,120820,0,240
18,owens,gpubackfill-serial,0,1,1,28,0,120820,0,240
19,owens,gpudebug,0,2,1,28,0,120820,0,60
20,owens,gpuparallel,2,8,1,28,0,120820,0,5760
21,owens,gpuserial,0,1,1,28,0,120820,0,10080
22,owens,hugemem,0,1,1,48,0,1528800,0,10080
23,owens,hugemem-parallel,2,16,1,48,0,1528800,0,5760
24,owens,longserial,0,1,1,28,0,120820,0,20160
25,owens,parallel,2,81,1,28,0,120820,0,5760
26,owens,serial,0,1,1,28,0,120820,0,10080
27,owens,systems,0,15,1,28,0,286464,0,5553
28,pitzer,batch,0,5,1,45,0,452903,0,10080
29,pitzer,condo-PYS1122,0,5,1,40,0,182240,0,10080
30,pitzer,condo-PYS1122-backfill-parallel,2,5,1,40,0,182240,0,360
31,pitzer,condo-PYS1122-backfill-serial,0,1,1,40,0,182240,0,360
32,pitzer,condo-ccapp-backfill-parallel,2,5,1,40,0,182240,0,240
33,pitzer,condo-ccapp-backfill-serial,0,1,1,40,0,182240,0,240
34,pitzer,condo-ccapp-parallel,2,5,1,40,0,182240,0,10080
35,pitzer,condo-ccapp-serial,0,1,1,40,0,182240,0,10080
36,pitzer,condo-datta-backfill-parallel,2,5,1,48,0,182256,0,240
37,pitzer,condo-datta-backfill-serial,0,1,1,48,0,182256,0,240
38,pitzer,condo-datta-parallel,2,5,1,48,0,182256,0,10080
39,pitzer,condo-datta-serial,0,1,1,48,0,182256,0,10080
40,pitzer,condo-gao-gpu-backfill-parallel,2,5,1,48,0,371712,0,60
41,pitzer,condo-gao-gpu-backfill-serial,0,1,1,48,0,371712,0,60
42,pitzer,condo-gao-gpu-parallel,2,5,1,48,0,371712,0,43200
43,pitzer,condo-gao-gpu-serial,0,1,1,48,0,371712,0,43200
44,pitzer,condo-osumed-cpu-40core,0,5,1,40,0,182240,0,10080
45,pitzer,condo-osumed-cpu-40core-backfill-parallel,2,5,1,40,0,182240,0,240
46,pitzer,condo-osumed-cpu-40core-backfill-serial,0,1,1,40,0,182240,0,240
47,pitzer,condo-osumed-gpu-40core,0,5,1,40,0,371680,0,10080
48,pitzer,condo-osumed-gpu-40core-backfill-parallel,2,10,1,40,0,371680,0,240
49,pitzer,condo-osumed-gpu-40core-backfill-serial,0,1,1,40,0,371680,0,240
50,pitzer,condo-osumed-gpu-40core-cpuonly,0,5,1,38,0,353096,0,10080
51,pitzer,condo-osumed-gpu-48core,0,5,1,48,0,371712,0,10080
52,pitzer,condo-osumed-gpu-48core-backfill-parallel,2,10,1,48,0,371712,0,240
53,pitzer,condo-osumed-gpu-48core-backfill-serial,0,1,1,48,0,371712,0,240
54,pitzer,condo-osumed-gpu-48core-cpuonly,0,5,1,46,0,356224,0,10080
55,pitzer,condo-osumed-gpu-quad,0,5,1,48,0,761856,0,10080
56,pitzer,condo-osumed-gpu-quad-backfill-parallel,2,2,1,48,0,761856,0,240
57,pitzer,condo-osumed-gpu-quad-backfill-serial,0,1,1,48,0,761856,0,240
58,pitzer,condo-osumed-gpu-quad-cpuonly,0,5,1,44,0,698368,0,10080
59,pitzer,condo-tarnovsky-olivucci-backfill-parallel,2,5,1,40,0,182240,0,240
60,pitzer,condo-tarnovsky-olivucci-backfill-serial,0,1,1,40,0,182240,0,240
61,pitzer,condo-tarnovsky-olivucci-parallel,2,5,1,40,0,182240,0,10080
62,pitzer,condo-tarnovsky-olivucci-serial,0,1,1,40,0,182240,0,20160
63,pitzer,debug,0,2,1,48,0,452903,0,60
64,pitzer,debug-40core,0,2,1,48,0,218688,0,60
65,pitzer,debug-48core,0,2,1,48,0,182256,0,60
66,pitzer,gpubackfill-parallel-40core,2,10,1,40,0,371680,0,240
67,pitzer,gpubackfill-parallel-48core,2,10,1,48,0,371712,0,240
68,pitzer,gpubackfill-parallel-quad,2,2,1,48,0,761856,0,240
69,pitzer,gpubackfill-serial-40core,0,1,1,40,0,371680,0,240
70,pitzer,gpubackfill-serial-48core,0,1,1,48,0,371712,0,240
71,pitzer,gpubackfill-serial-quad,0,1,1,48,0,761856,0,240
72,pitzer,gpudebug,0,2,1,48,0,452903,0,60
