CLQU_UUID,cluster_name,queue_name,gpu_flag,service_type,node_type
1,ascend,batch,0,standard,CPU
2,ascend,cpuonly,0,standard,CPU
3,ascend,debug,0,standard,CPU
4,ascend,gpu,1,gpu,GPU
5,ascend,gpu-dense,1,gpu,GPU
6,ascend,gpu-mixed,1,gpu,GPU
7,ascend,preemptible,0,standard,CPU
8,ascend,systems,0,standard,CPU
9,owens,batch,0,standard,CPU
10,owens,condo-PYS1123,0,standard,CPU
11,owens,condo-PYS1123-backfill-parallel,0,standard,CPU
12,owens,condo-PYS1123-backfill-serial,0,standard,CPU
13,owens,condo-PYS1124,0,standard,CPU
14,owens,condo-PYS1124-backfill-parallel,0,standard,CPU
15,owens,condo-PYS1124-backfill-serial,0,standard,CPU
16,owens,debug,0,standard,CPU
17,owens,gpubackfill-parallel,1,gpu,GPU
18,owens,gpubackfill-serial,1,gpu,GPU
19,owens,gpudebug,1,gpu,GPU
20,owens,gpuparallel,1,gpu,GPU
21,owens,gpuserial,1,gpu,GPU
22,owens,hugemem,0,standard,CPU
23,owens,hugemem-parallel,0,standard,CPU
24,owens,longserial,0,standard,CPU
25,owens,parallel,0,standard,CPU
26,owens,serial,0,standard,CPU
27,owens,systems,0,standard,CPU
28,pitzer,batch,0,standard,CPU
29,pitzer,condo-PYS1122,0,standard,CPU
30,pitzer,condo-PYS1122-backfill-parallel,0,standard,CPU
31,pitzer,condo-PYS1122-backfill-serial,0,standard,CPU
32,pitzer,condo-ccapp-backfill-parallel,0,standard,CPU
33,pitzer,condo-ccapp-backfill-serial,0,standard,CPU
34,pitzer,condo-ccapp-parallel,0,standard,CPU
35,pitzer,condo-ccapp-serial,0,standard,CPU
36,pitzer,condo-datta-backfill-parallel,0,standard,CPU
37,pitzer,condo-datta-backfill-serial,0,standard,CPU
38,pitzer,condo-datta-parallel,0,standard,CPU
39,pitzer,condo-datta-serial,0,standard,CPU
40,pitzer,condo-gao-gpu-backfill-parallel,1,gpu,GPU
41,pitzer,condo-gao-gpu-backfill-serial,1,gpu,GPU
42,pitzer,condo-gao-gpu-parallel,1,gpu,GPU
43,pitzer,condo-gao-gpu-serial,1,gpu,GPU
44,pitzer,condo-osumed-cpu-40core,0,standard,CPU
45,pitzer,condo-osumed-cpu-40core-backfill-parallel,0,standard,CPU
46,pitzer,condo-osumed-cpu-40core-backfill-serial,0,standard,CPU
47,pitzer,condo-osumed-gpu-40core,1,gpu,GPU
48,pitzer,condo-osumed-gpu-40core-backfill-parallel,1,gpu,GPU
49,pitzer,condo-osumed-gpu-40core-backfill-serial,1,gpu,GPU
50,pitzer,condo-osumed-gpu-40core-cpuonly,1,gpu,GPU
51,pitzer,condo-osumed-gpu-48core,1,gpu,GPU
52,pitzer,condo-osumed-gpu-48core-backfill-parallel,1,gpu,GPU
53,pitzer,condo-osumed-gpu-48core-backfill-serial,1,gpu,GPU
54,pitzer,condo-osumed-gpu-48core-cpuonly,1,gpu,GPU
55,pitzer,condo-osumed-gpu-quad,1,gpu,GPU
56,pitzer,condo-osumed-gpu-quad-backfill-parallel,1,gpu,GPU
57,pitzer,condo-osumed-gpu-quad-backfill-serial,1,gpu,GPU
58,pitzer,condo-osumed-gpu-quad-cpuonly,1,gpu,GPU
59,pitzer,condo-tarnovsky-olivucci-backfill-parallel,0,standard,CPU
60,pitzer,condo-tarnovsky-olivucci-backfill-serial,0,standard,CPU
61,pitzer,condo-tarnovsky-olivucci-parallel,0,standard,CPU
62,pitzer,condo-tarnovsky-olivucci-serial,0,standard,CPU
63,pitzer,debug,0,standard,CPU
64,pitzer,debug-40core,0,standard,CPU
65,pitzer,debug-48core,0,standard,CPU
66,pitzer,gpubackfill-parallel-40core,1,gpu,GPU
67,pitzer,gpubackfill-parallel-48core,1,gpu,GPU
68,pitzer,gpubackfill-parallel-quad,1,gpu,GPU
69,pitzer,gpubackfill-serial-40core,1,gpu,GPU
70,pitzer,gpubackfill-serial-48core,1,gpu,GPU
71,pitzer,gpubackfill-serial-quad,1,gpu,GPU
72,pitzer,gpudebug,1,gpu,GPU
73,pitzer,gpudebug-40core,1,gpu,GPU
74,pitzer,gpudebug-48core,1,gpu,GPU
75,pitzer,gpudebug-quad,1,gpu,GPU
76,pitzer,gpuparallel,1,gpu,GPU
77,pitzer,gpuparallel-40core,1,gpu,GPU
78,pitzer,gpuparallel-48core,1,gpu,GPU
79,pitzer,gpuparallel-quad,1,gpu,GPU
80,pitzer,gpuserial,1,gpu,GPU
81,pitzer,gpuserial-40core,1,gpu,GPU
82,pitzer,gpuserial-48core,1,gpu,GPU
83,pitzer,gpuserial-quad,1,gpu,GPU
84,pitzer,hugemem,0,standard,CPU
85,pitzer,hugemem-parallel,0,standard,CPU
86,pitzer,largemem,0,standard,CPU
87,pitzer,largemem-parallel,0,standard,CPU
88,pitzer,longserial,0,standard,CPU
89,pitzer,parallel,0,standard,CPU
90,pitzer,parallel-40core,0,standard,CPU
91,pitzer,parallel-48core,0,standard,CPU
92,pitzer,serial,0,standard,CPU
93,pitzer,serial-40core,0,standard,CPU
94,pitzer,serial-48core,0,standard,CPU
95,pitzer,systems,0,standard,CPU
96,frontera,flex,0,standard,CPU
97,frontera,development,0,standard,CPU
98,frontera,normal,0,standard,CPU
99,frontera,large,0,standard,CPU
100,frontera,debug,0,standard,CPU
101,frontera,rtx,0,standard,CPU
102,frontera,rtx-dev,0,standard,CPU
103,frontera,nvdimm,0,standard,CPU
104,frontera,small,0,standard,CPU
105,frontera,grace,0,standard,CPU
106,lonsestar6,gpu-a100,1,gpu,GPU
107,lonsestar6,large,0,standard,CPU
108,lonsestar6,normal,0,standard,CPU
109,lonsestar6,debug,0,standard,CPU
110,lonsestar6,development,0,standard,CPU
111,lonsestar6,vm-small,0,standard,CPU
112,stampede2,development,0,standard,CPU
113,stampede2,normal,0,standard,CPU
114,stampede2,large,0,standard,CPU
115,stampede2,long,0,standard,CPU
116,stampede2,skx-dev,0,standard,CPU
117,stampede2,skx-normal,0,standard,CPU
118,stampede2,skx-large,0,standard,CPU
119,stampede2,icx-normal,0,standard,CPU
